               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1102,            0.034352,              0.0276,           0.0031266,                 0.5,           0.0092722,           0.0021752,             0.10318,            0.019669,            0.022013,              0.0811,              0.0021,              0.0021
                   1,            0.089095,            0.036695,            0.019888,             0.73299,             0.17692,             0.22304,            0.081757,            0.077218,            0.017562,             0.01619,            0.061215,           0.0042149,           0.0042149
                   2,            0.081673,            0.028138,             0.01201,             0.81576,             0.27803,             0.32169,              0.1606,            0.074544,            0.016564,            0.010008,            0.041243,           0.0062426,           0.0062426
                   3,            0.081262,            0.025615,           0.0094846,             0.81537,             0.18919,              0.2648,             0.12532,            0.077049,            0.012415,            0.007517,            0.021183,           0.0081832,           0.0081832
                   4,            0.082083,            0.023307,           0.0070888,             0.63172,             0.17568,              0.1327,            0.048231,            0.069629,            0.011766,           0.0033071,            0.009208,            0.009208,            0.009208
                   5,            0.077967,            0.023492,           0.0063356,             0.76956,             0.31081,             0.32618,             0.11703,            0.062951,             0.01217,           0.0030402,            0.009208,            0.009208,            0.009208
                   6,            0.075681,            0.024008,           0.0067674,             0.87038,             0.44595,             0.44914,             0.13676,            0.067076,            0.010602,           0.0044003,             0.00901,             0.00901,             0.00901
                   7,            0.065346,            0.021702,           0.0053953,             0.79549,             0.31243,             0.37914,             0.15907,            0.056651,            0.012683,           0.0076088,            0.008812,            0.008812,            0.008812
                   8,            0.062208,            0.020233,           0.0053066,             0.78927,             0.40813,               0.361,             0.12388,            0.054673,            0.010345,           0.0032241,            0.008614,            0.008614,            0.008614
                   9,            0.060774,             0.02045,           0.0036114,             0.99096,                 0.5,             0.56593,             0.35401,             0.04475,           0.0094182,            0.002234,            0.008416,            0.008416,            0.008416
                  10,            0.055819,            0.019118,           0.0044529,              0.9219,             0.54054,             0.60482,             0.31976,            0.047305,           0.0086324,           0.0020105,            0.008218,            0.008218,            0.008218
                  11,            0.056069,            0.018279,           0.0041964,             0.33178,             0.63514,             0.53384,             0.23109,            0.056559,           0.0074723,           0.0015046,             0.00802,             0.00802,             0.00802
                  12,            0.052581,            0.017833,           0.0041666,             0.46514,             0.77027,             0.65936,             0.35107,            0.049656,           0.0073233,            0.001487,            0.007822,            0.007822,            0.007822
                  13,            0.047744,            0.016957,           0.0066032,             0.58884,             0.90541,             0.86266,              0.5357,            0.043598,           0.0065668,            0.001494,            0.007624,            0.007624,            0.007624
                  14,            0.046162,            0.017966,           0.0036645,             0.67439,             0.83034,             0.72386,             0.46763,             0.04698,           0.0065635,           0.0015273,            0.007426,            0.007426,            0.007426
                  15,            0.045261,            0.014355,           0.0030737,             0.59157,             0.83784,             0.91203,             0.62896,            0.033881,           0.0070328,           0.0017127,            0.007228,            0.007228,            0.007228
                  16,            0.042458,            0.015402,           0.0037363,              0.6043,             0.83784,              0.9152,             0.55513,            0.030806,           0.0067008,           0.0015313,             0.00703,             0.00703,             0.00703
                  17,            0.040184,            0.017725,           0.0034171,             0.69528,             0.96908,             0.98108,             0.54039,            0.033547,           0.0066767,           0.0015594,            0.006832,            0.006832,            0.006832
                  18,            0.041369,            0.014971,           0.0027401,             0.77976,             0.87083,             0.85431,             0.51021,            0.033215,           0.0059362,           0.0015939,            0.006634,            0.006634,            0.006634
                  19,            0.041318,            0.015314,           0.0030375,             0.83721,             0.89263,             0.87335,             0.57482,            0.034665,           0.0056746,           0.0015286,            0.006436,            0.006436,            0.006436
                  20,            0.038245,             0.01505,           0.0033022,             0.96254,             0.98649,             0.99093,             0.67049,            0.025256,           0.0055699,           0.0013482,            0.006238,            0.006238,            0.006238
                  21,            0.036231,            0.015192,           0.0026046,              0.9576,             0.98649,             0.99097,             0.63805,            0.030124,           0.0055099,           0.0011995,             0.00604,             0.00604,             0.00604
                  22,            0.034846,            0.014612,           0.0020587,              0.9816,             0.98649,              0.9936,             0.71808,            0.023495,           0.0053603,           0.0012042,            0.005842,            0.005842,            0.005842
                  23,            0.035486,            0.014284,            0.003209,             0.98851,             0.98649,             0.99304,             0.71893,            0.023551,           0.0051239,           0.0011715,            0.005644,            0.005644,            0.005644
                  24,            0.033717,            0.014201,            0.003167,              0.9643,             0.98649,              0.9926,             0.64563,            0.025733,           0.0053086,           0.0011124,            0.005446,            0.005446,            0.005446
                  25,             0.03291,            0.013641,           0.0025444,             0.98401,             0.98649,             0.99381,             0.71438,            0.023604,           0.0053889,           0.0010567,            0.005248,            0.005248,            0.005248
                  26,            0.032148,            0.013039,           0.0032468,             0.98756,             0.98649,             0.99474,             0.70043,            0.024074,           0.0048287,           0.0010491,             0.00505,             0.00505,             0.00505
                  27,            0.032632,            0.012839,           0.0028112,             0.98766,             0.99763,               0.995,             0.73242,            0.022049,           0.0047193,           0.0010078,            0.004852,            0.004852,            0.004852
                  28,            0.029718,            0.012194,           0.0021762,             0.98984,             0.99821,               0.995,             0.68482,            0.022857,           0.0045952,          0.00092484,            0.004654,            0.004654,            0.004654
                  29,            0.028998,            0.012272,           0.0019819,             0.98996,             0.98649,             0.99381,             0.69122,            0.026733,            0.004727,          0.00088825,            0.004456,            0.004456,            0.004456
                  30,            0.029287,             0.01298,           0.0026793,             0.98833,             0.98649,             0.99304,             0.66708,            0.026794,            0.004921,          0.00084882,            0.004258,            0.004258,            0.004258
                  31,            0.028701,            0.012309,           0.0028221,              0.9883,             0.98649,              0.9936,             0.76353,            0.021736,           0.0045478,          0.00089226,             0.00406,             0.00406,             0.00406
                  32,            0.027826,            0.010687,           0.0018001,             0.99042,             0.98649,             0.99449,             0.80056,            0.020544,           0.0047879,           0.0009148,            0.003862,            0.003862,            0.003862
                  33,            0.026919,            0.011158,           0.0019488,             0.98875,             0.98649,             0.99449,             0.78356,            0.018266,           0.0045084,          0.00084726,            0.003664,            0.003664,            0.003664
                  34,            0.027011,             0.01274,           0.0019743,              0.9903,             0.99778,               0.995,              0.7385,            0.020431,           0.0043864,          0.00080193,            0.003466,            0.003466,            0.003466
                  35,            0.025696,            0.011526,           0.0013306,             0.98987,             0.99832,               0.995,             0.78656,            0.019552,           0.0043121,          0.00078074,            0.003268,            0.003268,            0.003268
                  36,             0.02627,            0.010818,           0.0020251,             0.99057,             0.99848,               0.995,             0.78099,              0.0167,           0.0042517,          0.00076504,             0.00307,             0.00307,             0.00307
                  37,            0.023848,            0.011606,           0.0018677,             0.99131,             0.99904,               0.995,             0.82119,            0.017359,           0.0043037,          0.00072497,            0.002872,            0.002872,            0.002872
                  38,            0.024498,            0.010675,            0.002283,             0.99172,             0.99887,               0.995,             0.77514,            0.018233,           0.0042846,          0.00068852,            0.002674,            0.002674,            0.002674
                  39,              0.0257,              0.0104,           0.0016157,             0.99219,             0.99903,               0.995,             0.79955,            0.017345,           0.0041699,          0.00065811,            0.002476,            0.002476,            0.002476
                  40,            0.023225,            0.011229,           0.0020043,              0.9917,             0.99894,               0.995,             0.80563,            0.017336,           0.0041544,          0.00059306,            0.002278,            0.002278,            0.002278
                  41,            0.023826,            0.010915,           0.0018316,             0.99126,             0.99908,               0.995,              0.8231,            0.018195,           0.0040535,          0.00055726,             0.00208,             0.00208,             0.00208
                  42,            0.022605,             0.01059,           0.0022316,             0.99086,               0.999,               0.995,             0.82054,            0.019543,            0.003943,          0.00053544,            0.001882,            0.001882,            0.001882
                  43,            0.022429,            0.010026,           0.0012482,             0.99128,             0.99905,               0.995,              0.8195,            0.015702,           0.0039653,          0.00051567,            0.001684,            0.001684,            0.001684
                  44,            0.021824,           0.0099233,           0.0022172,             0.99172,             0.99909,               0.995,             0.81223,            0.014939,           0.0038044,           0.0005011,            0.001486,            0.001486,            0.001486
                  45,            0.020399,            0.010692,            0.001733,              0.9922,             0.99848,               0.995,             0.82649,            0.014288,           0.0038412,          0.00048196,            0.001288,            0.001288,            0.001288
                  46,            0.020046,            0.009745,           0.0013762,             0.99195,             0.99862,               0.995,             0.82733,            0.014262,           0.0038169,          0.00047606,             0.00109,             0.00109,             0.00109
                  47,            0.019744,           0.0087918,           0.0010614,             0.99177,             0.99868,               0.995,              0.8226,            0.016269,            0.003736,          0.00046388,            0.000892,            0.000892,            0.000892
                  48,            0.020795,            0.009721,           0.0014979,              0.9913,             0.99893,               0.995,             0.83618,             0.01559,           0.0036775,          0.00045368,            0.000694,            0.000694,            0.000694
                  49,            0.019894,           0.0095436,           0.0012411,             0.99149,             0.99868,               0.995,              0.8357,            0.014896,            0.003703,          0.00043455,            0.000496,            0.000496,            0.000496
